State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,Polling Units
NASARAWA,AKWANGA,AGYAGA,0,0,0,0,0,0,12
NASARAWA,AKWANGA,AKWANGA EAST,0,0,0,0,0,0,40
NASARAWA,AKWANGA,AKWANGA WEST,0,0,0,0,0,0,46
NASARAWA,AKWANGA,ANCHO NIGHAAN,0,0,0,0,0,0,10
NASARAWA,AKWANGA,ANCHOBABA,0,0,0,0,0,0,17
NASARAWA,AKWANGA,ANDAHA,0,0,0,0,0,0,14
NASARAWA,AKWANGA,GUDI,0,0,0,0,0,0,14
NASARAWA,AKWANGA,"GWANJE
.GWANJE",0,0,0,0,0,0,12
NASARAWA,AKWANGA,MOROA,0,0,0,0,0,0,17
NASARAWA,AKWANGA,NINGO / BOHAR,0,0,0,0,0,0,12
NASARAWA,AKWANGA,NUNKU,0,0,0,0,0,0,12
NASARAWA,NASARAWA EGGON,AGUNJI,0,0,0,0,0,0,10
NASARAWA,NASARAWA EGGON,ALOCE/GINDA,0,0,0,0,0,0,12
NASARAWA,NASARAWA EGGON,ALOGANI,0,0,0,0,0,0,22
NASARAWA,NASARAWA EGGON,ENDE,0,0,0,0,0,0,16
NASARAWA,NASARAWA EGGON,IGGA/BURUMBURUM,0,0,0,0,0,0,19
NASARAWA,NASARAWA EGGON,IKKA WANGIBI,0,0,0,0,0,0,16
NASARAWA,NASARAWA EGGON,KAGBU WANA,0,0,0,0,0,0,15
NASARAWA,NASARAWA EGGON,LAMBAGA/ARIKPA,0,0,0,0,0,0,8
NASARAWA,NASARAWA EGGON,LIZZIN KEFFI/EZZEN,0,0,0,0,0,0,15
NASARAWA,NASARAWA EGGON,MADA STATION,0,0,0,0,0,0,17
NASARAWA,NASARAWA EGGON,NASARAWA EGGON,0,0,0,0,0,0,50
NASARAWA,NASARAWA EGGON,UBBE,0,0,0,0,0,0,14
NASARAWA,NASARAWA EGGON,UMME,0,0,0,0,0,0,19
NASARAWA,NASARAWA EGGON,WAKAMA,0,0,0,0,0,0,22
NASARAWA,WAMBA,ARUM,0,0,0,0,0,0,8
NASARAWA,WAMBA,GITTA,0,0,0,0,0,0,12
NASARAWA,WAMBA,JIMIYA,0,0,0,0,0,0,9
NASARAWA,WAMBA,KONVAH,0,0,0,0,0,0,7
NASARAWA,WAMBA,KWARA,0,0,0,0,0,0,14
NASARAWA,WAMBA,MANGAR,0,0,0,0,0,0,11
NASARAWA,WAMBA,NAKERE,0,0,0,0,0,0,12
NASARAWA,WAMBA,WAMBA EAST,0,0,0,0,0,0,17
NASARAWA,WAMBA,WAMBA WEST,0,0,0,0,0,0,19
NASARAWA,WAMBA,WAYO,0,0,0,0,0,0,13
