State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,Polling Units
ONDO,ESE-ODO,APOI I,0,0,0,0,0,0,16
ONDO,ESE-ODO,APOI II,0,0,0,0,0,0,17
ONDO,ESE-ODO,APOI III,0,0,0,0,0,0,18
ONDO,ESE-ODO,APOI IV,0,0,0,0,0,0,7
ONDO,ESE-ODO,APOI V,0,0,0,0,0,0,8
ONDO,ESE-ODO,AROGBO I,0,0,0,0,0,0,20
ONDO,ESE-ODO,AROGBO II,0,0,0,0,0,0,14
ONDO,ESE-ODO,AROGBO III,0,0,0,0,0,0,14
ONDO,ESE-ODO,UKPARAMA I,0,0,0,0,0,0,13
ONDO,ESE-ODO,UKPARAMA II,0,0,0,0,0,0,16
ONDO,ILAJE,AHERI,0,0,0,0,0,0,30
ONDO,ILAJE,ETIKAN,0,0,0,0,0,0,13
ONDO,ILAJE,MAHIN 1,0,0,0,0,0,0,36
ONDO,ILAJE,MAHIN 11,0,0,0,0,0,0,36
ONDO,ILAJE,MAHIN 111,0,0,0,0,0,0,34
ONDO,ILAJE,MAHIN 1V,0,0,0,0,0,0,25
ONDO,ILAJE,UGBO 1,0,0,0,0,0,0,17
ONDO,ILAJE,UGBO 11,0,0,0,0,0,0,23
ONDO,ILAJE,UGBO 111,0,0,0,0,0,0,17
ONDO,ILAJE,UGBO 1V,0,0,0,0,0,0,22
ONDO,ILAJE,UGBO V,0,0,0,0,0,0,19
ONDO,ILAJE,UGBO V1,0,0,0,0,0,0,20
ONDO,ILEOLUJI/OKEIGBO,ILEOLUJI 1,0,0,0,0,0,0,11
ONDO,ILEOLUJI/OKEIGBO,ILEOLUJI 11,0,0,0,0,0,0,17
ONDO,ILEOLUJI/OKEIGBO,ILEOLUJI 1V,0,0,0,0,0,0,16
ONDO,ILEOLUJI/OKEIGBO,ILEOLUJI III,0,0,0,0,0,0,14
ONDO,ILEOLUJI/OKEIGBO,ILEOLUJI V,0,0,0,0,0,0,33
ONDO,ILEOLUJI/OKEIGBO,ILEOLUJI VI,0,0,0,0,0,0,30
ONDO,ILEOLUJI/OKEIGBO,OKE-IGBO 1,0,0,0,0,0,0,17
ONDO,ILEOLUJI/OKEIGBO,OKE-IGBO 11,0,0,0,0,0,0,12
ONDO,ILEOLUJI/OKEIGBO,OKE-IGBO 111,0,0,0,0,0,0,18
ONDO,ILEOLUJI/OKEIGBO,OKE-IGBO 1V,0,0,0,0,0,0,23
ONDO,IRELE,AJAGBA 1,0,0,0,0,0,0,14
ONDO,IRELE,AJAGBA 11,0,0,0,0,0,0,12
ONDO,IRELE,AKOTOGBO 1,0,0,0,0,0,0,9
ONDO,IRELE,AKOTOGBO 11,0,0,0,0,0,0,14
ONDO,IRELE,IRELE 1,0,0,0,0,0,0,17
ONDO,IRELE,IRELE 11,0,0,0,0,0,0,21
ONDO,IRELE,IRELE 1V,0,0,0,0,0,0,19
ONDO,IRELE,IRELE III,0,0,0,0,0,0,19
ONDO,IRELE,IRELE V,0,0,0,0,0,0,18
ONDO,IRELE,IYANSAN/OMI,0,0,0,0,0,0,12
ONDO,ODIGBO,AGBABU,0,0,0,0,0,0,22
ONDO,ODIGBO,AGO-ALAYE,0,0,0,0,0,0,17
ONDO,ODIGBO,AJUE,0,0,0,0,0,0,27
ONDO,ODIGBO,ARAROMI OBU,0,0,0,0,0,0,17
ONDO,ODIGBO,AYESAN,0,0,0,0,0,0,12
ONDO,ODIGBO,EBIJAN,0,0,0,0,0,0,13
ONDO,ODIGBO,KOSERU,0,0,0,0,0,0,11
ONDO,ODIGBO,ODIGBO,0,0,0,0,0,0,50
ONDO,ODIGBO,ONIPARAGA,0,0,0,0,0,0,37
ONDO,ODIGBO,ORE 1,0,0,0,0,0,0,80
ONDO,ODIGBO,ORE 11,0,0,0,0,0,0,18
ONDO,OKITIPUPA,AYE 11,0,0,0,0,0,0,14
ONDO,OKITIPUPA,AYEKA/IGBODIGO,0,0,0,0,0,0,22
ONDO,OKITIPUPA,ERINJE,0,0,0,0,0,0,19
ONDO,OKITIPUPA,IGBOTAKO 1,0,0,0,0,0,0,25
ONDO,OKITIPUPA,IGBOTAKO 11,0,0,0,0,0,0,14
ONDO,OKITIPUPA,IJU-ODO/EREKITI,0,0,0,0,0,0,16
ONDO,OKITIPUPA,IKOYA/OLOTO,0,0,0,0,0,0,20
ONDO,OKITIPUPA,ILUTITUN 1,0,0,0,0,0,0,18
ONDO,OKITIPUPA,ILUTITUN 111,0,0,0,0,0,0,24
ONDO,OKITIPUPA,ILUTITUN II,0,0,0,0,0,0,18
ONDO,OKITIPUPA,ODE AYE 1,0,0,0,0,0,0,19
ONDO,OKITIPUPA,OKITIPUPA 1,0,0,0,0,0,0,25
ONDO,OKITIPUPA,OKITIPUPA 11,0,0,0,0,0,0,35
